[0.007s][info][class,load] opened: ./target/task3-0.0.1-SNAPSHOT.jar
[0.008s][info][class,load] java.lang.Object source: jrt:/java.base
[0.008s][info][class,load] java.io.Serializable source: jrt:/java.base
[0.008s][info][class,load] java.lang.Comparable source: jrt:/java.base
[0.008s][info][class,load] java.lang.CharSequence source: jrt:/java.base
[0.008s][info][class,load] java.lang.constant.Constable source: jrt:/java.base
[0.008s][info][class,load] java.lang.constant.ConstantDesc source: jrt:/java.base
[0.008s][info][class,load] java.lang.String source: jrt:/java.base
[0.008s][info][class,load] java.lang.reflect.AnnotatedElement source: jrt:/java.base
[0.008s][info][class,load] java.lang.reflect.GenericDeclaration source: jrt:/java.base
[0.008s][info][class,load] java.lang.reflect.Type source: jrt:/java.base
[0.008s][info][class,load] java.lang.invoke.TypeDescriptor source: jrt:/java.base
[0.008s][info][class,load] java.lang.invoke.TypeDescriptor$OfField source: jrt:/java.base
[0.009s][info][class,load] java.lang.Class source: jrt:/java.base
[0.009s][info][class,load] java.lang.Cloneable source: jrt:/java.base
[0.009s][info][class,load] java.lang.ClassLoader source: jrt:/java.base
[0.009s][info][class,load] java.lang.System source: jrt:/java.base
[0.009s][info][class,load] java.lang.Throwable source: jrt:/java.base
[0.009s][info][class,load] java.lang.Error source: jrt:/java.base
[0.009s][info][class,load] java.lang.Exception source: jrt:/java.base
[0.009s][info][class,load] java.lang.RuntimeException source: jrt:/java.base
[0.009s][info][class,load] java.lang.SecurityManager source: jrt:/java.base
[0.009s][info][class,load] java.security.ProtectionDomain source: jrt:/java.base
[0.009s][info][class,load] java.security.AccessControlContext source: jrt:/java.base
[0.009s][info][class,load] java.security.AccessController source: jrt:/java.base
[0.009s][info][class,load] java.security.SecureClassLoader source: jrt:/java.base
[0.009s][info][class,load] java.lang.ReflectiveOperationException source: jrt:/java.base
[0.009s][info][class,load] java.lang.ClassNotFoundException source: jrt:/java.base
[0.009s][info][class,load] java.lang.Record source: jrt:/java.base
[0.010s][info][class,load] java.lang.LinkageError source: jrt:/java.base
